category,SPORTS,SHOPPING,TRANSPORTATION,AUTOMOTIVE,SERVICES,FOOD_DRINK,ENTERTAINMENT_RECREATION,HEALTH_WELLNESS,LODGING,PLACE_OF_WORSHIP,EDUCATION,GOVERNMENT,BUSINESS,FINANCE,FACILITIES,CULTURE
SPORTS,100,82,78,80,85,84,75,76,37,73,69,63,42,67,32,32
SHOPPING,82,89,81,79,86,85,76,75,38,74,69,61,41,68,32,33
TRANSPORTATION,78,81,88,75,81,79,70,71,36,69,66,59,41,64,30,30
AUTOMOTIVE,80,79,75,83,81,78,72,74,37,70,67,60,42,66,30,31
SERVICES,85,86,81,81,96,83,77,73,38,73,68,62,42,67,32,33
FOOD_DRINK,84,85,79,78,83,90,75,75,37,72,69,63,42,67,32,31
ENTERTAINMENT_RECREATION,75,76,70,72,77,75,82,69,36,67,65,59,39,64,31,30
HEALTH_WELLNESS,76,75,71,74,73,75,69,79,35,68,65,59,40,66,31,30
LODGING,37,38,36,37,38,37,36,35,39,36,35,34,25,31,15,21
PLACE_OF_WORSHIP,73,74,69,70,73,72,67,68,36,74,65,57,39,64,30,30
EDUCATION,69,69,66,67,68,69,65,65,35,65,69,56,38,59,31,29
GOVERNMENT,63,61,59,60,62,63,59,59,34,57,56,66,36,53,27,28
BUSINESS,42,41,41,42,42,42,39,40,25,39,38,36,43,38,20,23
FINANCE,67,68,64,66,67,67,64,66,31,64,59,53,38,68,30,29
FACILITIES,32,32,30,30,32,32,31,31,15,30,31,27,20,30,32,18
CULTURE,32,33,30,31,33,31,30,30,21,30,29,28,23,29,18,33
