predictor,coefficient,std_error,z_value,p_value
(Intercept),-7.646137982479318,0.47489656156889287,-16.100638752192985,2.524845631186614e-58
category_AUTOMOTIVE,0.27370432045861215,0.30880148939009366,0.8863439130400534,0.37543223258231057
category_BUSINESS,-10.60415788476607,1015.378866516585,-0.0104435479548095,0.9916674057966008
category_CULTURE,-10.800207675639573,182.74676058213302,-0.05909931120658945,0.9528730072621325
category_EDUCATION,0.2778692082492613,0.36805013819853266,0.7549765083891201,0.4502630776182459
category_FINANCE,0.9650847815562605,0.6291619339257619,1.5339211250980354,0.1250490582370698
category_FOODBEV,0.15878196212386092,0.11709560167849599,1.3560027861663093,0.17509828156926133
category_GOVERNMENT,-10.676098012420617,384.9700644189764,-0.027732281024327766,0.977875677064727
category_HEALTH,-1.6153391177431404,1.1015205365720688,-1.466463006463842,0.14252219227874324
category_LODGING,-11.633226342515622,288.0653308396097,-0.04038398619024662,0.9677869970034043
category_RECREATION,0.5101895615655434,0.33538909428528885,1.5211870936136214,0.1282128933404159
category_SERVICES,0.28014704358736664,0.10288848587911979,2.722822103889272,0.006472690153165584
category_SHOPPING,0.1764636481444597,0.17136318742430331,1.0297640397381698,0.3031207852793807
category_TRANSPORTATION,0.46485689278402964,0.5147741394895681,0.9030307801494561,0.3665095591162604
