category,category_AUTOMOTIVE,category_BUSINESS,category_CULTURE,category_EDUCATION,category_ENTERTAINMENT_RECREATION,category_FACILITIES,category_FINANCE,category_FOOD_DRINK,category_GOVERNMENT,category_HEALTH_WELLNESS,category_LODGING,category_PLACE_OF_WORSHIP,category_SERVICES,category_SHOPPING,category_SPORTS,category_TRANSPORTATION
category_AUTOMOTIVE,1.0,0.08439461792477898,0.11115754689482905,0.13459666880155507,0.15549437975559888,NaN,0.14046068577762078,0.1831459243547222,0.08570635849803342,0.1484648020401415,0.09839881485510282,0.10277836302208515,0.24446804897694258,0.1835836967594933,0.15465055802426828,0.21689404691622466
category_BUSINESS,0.08439461792477898,1.0,0.04249666558019719,0.005325615149433289,0.02509232711078261,NaN,0.07561747134313541,0.05218503581115451,0.05146426216400102,0.01349167720361655,-0.0030712007191913827,-0.0035431643280864305,0.04798500651606394,0.06148305861307821,-0.004162570642202432,0.02982486616968796
category_CULTURE,0.11115754689482905,0.04249666558019719,1.0,0.08115385483562529,0.10217812466367907,NaN,0.08314507095673893,0.1567577630485938,0.03450548634412157,0.07755196994338971,0.12274571896590764,0.06202561440789077,0.16096789683199694,0.2622089390488886,0.04129624345791721,0.04902601476351942
category_EDUCATION,0.13459666880155507,0.005325615149433289,0.08115385483562529,1.0,0.0997423483898964,NaN,0.07449191724536373,0.0895029864506639,0.030261760765018523,0.10539554653794397,0.05810373666756014,0.13159419418084303,0.14544060215581825,0.09064392662154029,0.1311267594281389,0.09713159568605356
category_ENTERTAINMENT_RECREATION,0.15549437975559888,0.02509232711078261,0.10217812466367907,0.0997423483898964,1.0,NaN,0.08044459600527247,0.19822458465624448,0.04430546871031979,0.061462756850406204,0.11174543126360012,0.07243870653552777,0.1432600549692698,0.12668523237760057,0.16205217554394652,0.12484175962788956
category_FACILITIES,NaN,NaN,NaN,NaN,NaN,1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
category_FINANCE,0.14046068577762078,0.07561747134313541,0.08314507095673893,0.07449191724536373,0.08044459600527247,NaN,1.0,0.32702677903900085,0.03465857438011014,0.14440887997597368,0.12580321493651273,0.03712094251584426,0.3350936864800928,0.2708924897468713,0.03769478635225596,0.16677153867454206
category_FOOD_DRINK,0.1831459243547222,0.05218503581115451,0.1567577630485938,0.0895029864506639,0.19822458465624448,NaN,0.32702677903900085,1.0,0.03160369788859006,0.15020557465974785,0.20260741702498694,0.0795808445616616,0.3162081691497842,0.4486416941453468,0.05722635395130547,0.1830871892424344
category_GOVERNMENT,0.08570635849803342,0.05146426216400102,0.03450548634412157,0.030261760765018523,0.04430546871031979,NaN,0.03465857438011014,0.03160369788859006,1.0,0.03223584152033791,0.014229941539033767,-0.0009597653799745338,0.07198572714418483,0.046658349073223325,0.02228386559438622,0.018724443996536562
category_HEALTH_WELLNESS,0.1484648020401415,0.01349167720361655,0.07755196994338971,0.10539554653794397,0.061462756850406204,NaN,0.14440887997597368,0.15020557465974785,0.03223584152033791,1.0,0.06574302037919774,0.06181016786628033,0.2274096751182105,0.16989439296443037,0.08060123865098665,0.11894419962879374
category_LODGING,0.09839881485510282,-0.0030712007191913827,0.12274571896590764,0.05810373666756014,0.11174543126360012,NaN,0.12580321493651273,0.20260741702498694,0.014229941539033767,0.06574302037919774,1.0,0.046856078157830695,0.19687044312731627,0.16026324083765212,0.028807535509638552,0.058085429832091966
category_PLACE_OF_WORSHIP,0.10277836302208515,-0.0035431643280864305,0.06202561440789077,0.13159419418084303,0.07243870653552777,NaN,0.03712094251584426,0.0795808445616616,-0.0009597653799745338,0.06181016786628033,0.046856078157830695,1.0,0.11104227385769504,0.08749779767299565,0.048692632050447625,0.078512804055749
category_SERVICES,0.24446804897694258,0.04798500651606394,0.16096789683199694,0.14544060215581825,0.1432600549692698,NaN,0.3350936864800928,0.3162081691497842,0.07198572714418483,0.2274096751182105,0.19687044312731627,0.11104227385769504,1.0,0.3683326001921463,0.0886153015954588,0.15940047618224432
category_SHOPPING,0.1835836967594933,0.06148305861307821,0.2622089390488886,0.09064392662154029,0.12668523237760057,NaN,0.2708924897468713,0.4486416941453468,0.046658349073223325,0.16989439296443037,0.16026324083765212,0.08749779767299565,0.3683326001921463,1.0,0.06946072881989741,0.16181288593298132
category_SPORTS,0.15465055802426828,-0.004162570642202432,0.04129624345791721,0.1311267594281389,0.16205217554394652,NaN,0.03769478635225596,0.05722635395130547,0.02228386559438622,0.08060123865098665,0.028807535509638552,0.048692632050447625,0.0886153015954588,0.06946072881989741,1.0,0.10295333500196437
category_TRANSPORTATION,0.21689404691622466,0.02982486616968796,0.04902601476351942,0.09713159568605356,0.12484175962788956,NaN,0.16677153867454206,0.1830871892424344,0.018724443996536562,0.11894419962879374,0.058085429832091966,0.078512804055749,0.15940047618224432,0.16181288593298132,0.10295333500196437,1.0
