component,variance,proportion,cumulative_proportion
1,142.36697373810358,0.5433853959469601,0.5433853959469601
2,17.30166003430298,0.06603687035993502,0.6094222663068951
3,9.21859707629933,0.035185485024043235,0.6446077513309384
4,7.402648109937457,0.02825438209899792,0.6728621334299363
5,6.7946863122757755,0.02593391722242662,0.6987960506523629
6,6.398875457048377,0.024423188767360212,0.7232192394197231
7,5.21079810672775,0.019888542392090643,0.7431077818118137
8,4.344508359084105,0.01658209297360345,0.7596898747854172
9,3.7085924960560788,0.014154933191053733,0.7738448079764709
10,3.3778922367739233,0.01289271846096917,0.7867375264374401
